Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Public Initiated,2017-0664-P,2017-11-22,2017-11-22,2018-07-20,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,A Platoon,,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,33,,Female,White,73
Public Initiated,2017-0258-N,2017-05-04,2017-05-04,2017-06-12,NFIM,Completed,NFIM,Not - NOPD Officer,Not Nopd,Unknown,Not - NOPD Officer,Not - NOPD Officer,Not - NOPD Officer,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,,,,,,,
Rank Initiated,2017-0338-R,2017-02-26,2017-06-20,2018-07-23,Commendation,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,32,,,,
Rank Initiated,2017-0338-R,2017-02-26,2017-06-20,2018-07-23,Commendation,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,30,,,,
Rank Initiated,2018-0380-R,2018-07-10,2018-07-12,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,White,Male,50,,,,
Rank Initiated,2018-0390-R,2018-07-17,2018-07-17,,DI-1,Active,Pending,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Hispanic,Male,28,,,,
Public Initiated,2018-0328-P,2018-06-08,2018-06-08,2018-07-20,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,2nd District,A Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,42,,Male,Black,
Public Initiated,2018-0388-P,2018-07-09,2018-07-16,,DI-1,Initial,Pending,FOB - Field Operations Bureau,4th District,Task Force,A,,,,,Black,Female,31,,,,
Rank Initiated,2018-0390-R,2018-07-17,2018-07-17,,DI-1,Active,Pending,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,31,,,,
Rank Initiated,2017-0338-R,2017-02-26,2017-06-20,2018-07-23,Commendation,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,35,,,,
Rank Initiated,2018-0390-R,2018-07-17,2018-07-17,,DI-1,Active,Pending,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,31,,,,
Rank Initiated,2017-0378-R,2017-05-21,2017-07-03,2018-07-23,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,Task Force,B,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,48,,,,
Public Initiated,2018-0245-P,2017-06-07,2018-04-23,2018-06-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 6: OFFICIAL INFO,PARAGRAPH 02 - FALSE OR INACCURATE REPORTS,Black,Male,42,,Male,Black,44
Rank Initiated,2018-0390-R,2018-07-17,2018-07-17,,DI-1,Active,Pending,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,28,,,,
Public Initiated,2017-0161-P,2016-11-29,2017-03-17,2017-06-12,DI-1,Completed,Not Sustained,,Unknown District/Division,Unknown,,,,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,,,,,Female,Black,29
Public Initiated,2016-0228-P,,2016-04-04,2017-02-21,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,3rd District,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Female,Black,
Public Initiated,2018-0172-P,2018-03-17,2018-03-22,2018-07-24,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,8th District,Staff,,,,,,Black,Male,47,,,,
Public Initiated,2017-0139-P,2017-02-26,2017-03-06,2018-07-24,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Narcotics,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,28,,Male,Black,25
Public Initiated,2018-0107-P,2018-02-13,2018-02-14,2018-06-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Off Duty,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,White,Male,52,,Female,Black,61
Public Initiated,2017-0150-N,2017-03-08,2017-03-08,2017-06-01,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,,,NO VIOLATION OBSERVED,,,,,,Female,White,41
Public Initiated,2017-0607-P,2017-10-17,2017-10-19,2018-04-24,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,33,,,,
Public Initiated,2018-0181-N,2018-03-25,2018-03-26,2018-04-10,NFIM,Completed,NFIM,Not - NOPD Officer,Not-NOPD Officer,Not-NOPD Officer,Not-NOPD Officer,Not-NOPD Officer,Not-NOPD Officer,NO VIOLATION OBSERVED,,,,,,Female,Race-Unknown,
Rank Initiated,2016-0820-R,2016-12-12,2016-12-19,2018-02-27,DI-1,Completed,Negotiated Settlement,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad B,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,49,,,,
Public Initiated,2016-0556-P,2016-05-20,2016-08-25,,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,,,,,Male,Black,60
Public Initiated,2018-0067-P,2015-05-01,2018-01-31,2018-05-31,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Administrative Duties Services,Limited Duty,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,33,,,,
Public Initiated,2017-0655-G,2017-11-17,2017-11-21,,INFO,Initial,Pending,ISB - Investigative Services Bureau,Crime Lab Division,,,,,NO ALLIGATIONS ASSIGNED AT THIS TIME,,,,,,,,
Public Initiated,2018-0067-P,2015-05-01,2018-01-31,2018-05-31,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Administrative Duties Services,Limited Duty,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,29,,,,
Public Initiated,2018-0107-P,2018-02-13,2018-02-14,2018-06-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Off Duty,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,Black,Female,46,,Female,Black,61
Rank Initiated,2017-0175-R,2017-03-15,2017-03-24,2018-06-20,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Narcotics,,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,28,,,,
Public Initiated,2017-0139-P,2017-02-26,2017-03-06,2018-07-24,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Narcotics,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,57,,Male,Black,25
Public Initiated,2018-0107-P,2018-02-13,2018-02-14,2018-06-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Off Duty,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,White,Male,52,,Male,Black,27
Public Initiated,2018-0099-P,2018-02-09,2018-02-12,2018-06-19,DI-1,Completed,Unfounded,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Child Abuse Platoon 2,,,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,Black,Female,32,,,,
Public Initiated,2018-0119-P,2018-02-16,2018-02-19,2018-06-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Evening Watch,,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,55,,Female,Black,34
Public Initiated,2017-0139-P,2017-02-26,2017-03-06,2018-07-24,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Narcotics,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,,,,,Male,Black,25
Rank Initiated,2016-0544-R,2016-08-13,2016-08-15,2018-06-13,DI-1,Completed,Sustained,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,DWI Unit,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,54,,,,
Public Initiated,2018-0107-P,2018-02-13,2018-02-14,2018-06-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Off Duty,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,White,Male,25,,Female,Black,61
Rank Initiated,2017-0187-R,2017-01-20,2017-03-29,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,40,,,,
Public Initiated,2018-0107-P,2018-02-13,2018-02-14,2018-06-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Off Duty,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,White,Male,29,,Female,Black,61
Public Initiated,2017-0322-N,2017-06-08,2017-06-09,2017-09-06,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,,,,,Male,White,35
Public Initiated,2018-0206-R,2018-03-22,2018-04-03,2018-07-24,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,2nd District,Narcotics,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,53,,,,
Public Initiated,2018-0318-P,2018-05-15,2018-06-04,2018-07-19,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,4th District,Task Force,A,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,33,,Female,Black,48
Public Initiated,2016-0427-P,2016-06-17,2016-06-20,2016-09-22,DI-1,Completed,Unfounded,,Unknown District/Division,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,,,
Public Initiated,2018-0107-P,2018-02-13,2018-02-14,2018-06-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Off Duty,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,White,Male,25,,Male,Black,27
Public Initiated,2018-0107-P,2018-02-13,2018-02-14,2018-06-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Off Duty,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,Black,Female,46,,Male,Black,27
Public Initiated,2018-0099-P,2018-02-09,2018-02-12,2018-06-19,DI-1,Completed,Unfounded,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Child Abuse Platoon 2,,,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,White,Female,42,,,,
Public Initiated,2017-0165-P,2017-03-18,2017-03-22,2017-06-14,DI-1,Completed,Unfounded,,Unknown District/Division,Unknown,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,,,,,Male,White,56
Public Initiated,2018-0107-P,2018-02-13,2018-02-14,2018-06-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Off Duty,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,White,Male,29,,Male,Black,27
Rank Initiated,2017-0188-R,2017-02-02,2017-03-29,2018-07-24,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 07 - Use of Drugs/Substance Abuse Testing,Black,Male,48,,,,
Public Initiated,2016-0082-P,2016-02-04,2016-02-15,2016-06-16,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Male,White,42
Public Initiated,2018-0318-P,2018-05-15,2018-06-04,2018-07-19,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,4th District,Task Force,A,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,46,,Female,Black,48
Public Initiated,2017-0031-N,2017-01-15,2017-01-18,2017-06-12,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,,,NO ALLIGATIONS ASSIGNED AT THIS TIME,,,,,,,,
Public Initiated,2016-0539-P,2016-08-09,2016-08-10,2016-11-18,DI-1,Completed,Not Sustained,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 07 - LEAVING CITY ON DUTY,,,,,Female,,
Public Initiated,2017-0546-P,2017-09-29,2017-10-02,2017-12-10,,Completed,Unfounded,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,,,,,Male,,
Public Initiated,2017-0546-P,2017-09-29,2017-10-02,2017-12-10,,Completed,Unfounded,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,,,,,Male,,
Public Initiated,2016-0594-P,2016-09-07,2016-09-09,,DI-1,Active,Pending,FOB - Field Operations Bureau,Reserve Division,D.I.U.,Persons,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,,,
Rank Initiated,2018-0240-R,2018-04-02,2018-04-23,,DI-1,Forwarded,Pending,MSB - Management Service Bureau,Administrative Duties Services,Limited Duty,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,45,,,,
Public Initiated,2018-0030-P,2017-12-25,2018-01-09,2018-07-25,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,24,,Female,Black,59
Public Initiated,2018-0030-P,2017-12-25,2018-01-09,2018-07-25,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,30,,Female,Black,59
Public Initiated,2018-0320-P,2018-06-06,2018-06-06,2018-07-25,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,RULE 3: PROF CONDUCT,,Not Specifie,Male,29,,Male,White,30
Public Initiated,2018-0161-P,2018-03-08,2018-03-15,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,,,,,,,
Public Initiated,2018-0335-N,2018-05-20,2018-06-13,2018-07-02,NFIM,Completed,NFIM,ISB - Investigations and Support Bureau,,,,,,NO VIOLATION OBSERVED,,White,Female,44,,Female,White,
Public Initiated,2018-0030-P,2017-12-25,2018-01-09,2018-07-25,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,47,,Female,Black,59
Public Initiated,2018-0337-N,,2018-06-13,2018-07-02,,Completed,NFIM,FOB - Field Operations Bureau,,Staff,,,,NO VIOLATION OBSERVED,,,,,,Female,Black,
Public Initiated,2018-0337-N,,2018-06-13,2018-07-02,,Completed,NFIM,FOB - Field Operations Bureau,,Staff,,,,NO VIOLATION OBSERVED,,,,,,Female,Black,
Public Initiated,2016-0001-P,2016-01-01,2016-01-01,2016-07-21,DI-1,Completed,Unfounded,,8th District,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Male,Black,
Public Initiated,2018-0340-N,,2018-06-15,2018-07-02,NFIM,Completed,NFIM,FOB - Field Operations Bureau,6th District,Staff,,,Between 3pm-11pm,NO VIOLATION OBSERVED,,,,,,Male,White,
Rank Initiated,2017-0438-R,2017-08-16,2017-08-16,2018-07-25,DI-1,Completed,Sustained,ISB - Investigative Services Bureau,Crime Lab Division,Crime Lab Section,Support Staff,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,31,,,,
Public Initiated,2017-0446-P,2017-04-25,2017-08-25,2018-05-02,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,3rd District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,23,,Male,Black,
Rank Initiated,2017-0023-R,2017-01-11,2017-01-11,2018-04-15,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,B Platoon,Risk Management Section,,,,,Black,Male,45,,,,
Public Initiated,2018-0235-P,2018-04-17,2018-04-18,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,1st District,1st Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Hispanic,Male,30,,,,
Rank Initiated,2017-0023-R,2017-01-11,2017-01-11,2018-04-15,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,B Platoon,Risk Management Section,,,,,Black,Male,47,,,,
Public Initiated,2016-0523-P,2016-08-11,2016-08-17,2016-11-18,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,,,,,Male,Black,65
Public Initiated,2018-0236-P,2017-12-28,2018-04-19,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,Motorcycle 2nd Platoon,,,,,Black,Male,55,,Female,W,33
Public Initiated,2017-0093-N,,2017-02-10,2017-06-12,NFIM,Completed,NFIM,,,,,,,NO VIOLATION OBSERVED,,,,,,Male,White,
Public Initiated,2017-0678-N,2017-11-29,2017-12-04,2018-01-03,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Female,Black,75
Rank Initiated,2018-0147-R,2018-03-05,2018-03-07,2018-07-27,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,3rd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Female,40,,,,
Rank Initiated,2017-0449-R,2017-08-21,2017-08-22,2018-07-27,DI-1,Completed,Negotiated Settlement,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad A,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Female,36,,,,
Public Initiated,2017-0675-N,2017-11-28,2017-11-29,2018-01-03,DI-1,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,,,,,Male,White,38
Public Initiated,2016-0699-N,2016-10-26,2016-10-27,2017-03-16,NFIM,Completed,NFIM,Not - NOPD Officer,Unknown District/Division,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Male,White,
Public Initiated,2016-0237-N,2016-04-03,2016-04-05,2016-08-26,NFIM,Completed,NFIM,Not - NOPD Officer,Not Nopd,N/A,Not - NOPD Officer,n/a,N/A,NO VIOLATION OBSERVED,,,,,,Female,White,54
Rank Initiated,,,2018-07-30,,,Initial,Pending,,,,,,,,,,,,,,,
Public Initiated,2017-0618-P,2017-10-26,2017-10-31,2018-02-28,DI-1,Completed,Not Sustained,,,,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,,,,,,,
Rank Initiated,2017-0153-R,2017-03-14,2017-03-15,2018-07-30,DI-1,Completed,Other,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad A,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,White,Male,34,,,,
Rank Initiated,2017-0270-R,2017-05-09,2017-05-18,2018-07-30,DI-1,Completed,Other,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad A,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,White,Male,34,,,,
Public Initiated,2017-0244-P,2017-01-20,2017-05-02,2017-09-22,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,,,,,Female,White,27
Public Initiated,2017-0237-N,2016-12-15,2017-05-02,2017-06-01,NFIM,Completed,NFIM,,,,,,,NO VIOLATION OBSERVED,,,,,,,,
Public Initiated,2016-0779-P,2016-11-27,2016-12-02,2017-03-20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,White,Male,,,Male,White,39
Public Initiated,2016-0653-N,2016-10-07,2016-10-07,2016-12-27,NFIM,Completed,NFIM,,Unknown District/Division,,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,,,,,Male,,
Public Initiated,2018-0384-P,2018-07-14,2018-07-16,,DI-1,Active,Pending,FOB - Field Operations Bureau,4th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,26,,Male,Black,38
Rank Initiated,2018-0114-R,2018-01-17,2018-02-15,2018-07-31,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,Narcotics,Narcotics,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Asian/Pacifi,Male,35,,,,
Rank Initiated,2018-0381-R,,2018-07-12,,DI-1,Active,Pending,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Female,,,,,
Public Initiated,2018-0384-P,2018-07-14,2018-07-16,,DI-1,Active,Pending,FOB - Field Operations Bureau,4th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,23,,Male,Black,38
Public Initiated,2018-0389-P,2018-07-17,2018-07-18,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,Narcotics,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,White,Male,36,,,,
Public Initiated,2016-0700-P,2016-10-22,2016-11-02,2017-01-09,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Male,White,63
Public Initiated,2018-0411-P,2018-07-23,2018-07-25,,Mediation,Active,Pending,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Sex Crimes Platoon 2,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,31,,Female,,55
Public Initiated,2018-0243-P,2017-07-24,2018-04-18,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,Traffic Division,Limited Duty,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,34,,Male,White,
Rank Initiated,2018-0227-R,2018-04-04,2018-04-12,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,C Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,33,,,,
Public Initiated,2016-0194-P,2015-01-25,2016-03-15,2016-07-06,DI-1,Completed,Not Sustained,Unknown Bureau,Unknown District/Division,Unknown,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,,,,,Male,White,
Public Initiated,2018-0243-P,2017-07-24,2018-04-18,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,Traffic Division,Limited Duty,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Not Specifie,N,69,,Male,White,
Rank Initiated,2018-0377-R,2018-06-28,2018-07-10,,DI-1,Active,Pending,FOB - Field Operations Bureau,3rd District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,34,,,,
Public Initiated,2017-0019-P,2016-10-01,2017-01-09,2017-08-29,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,,,,,Female,Black,60
